player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Diego Porcel,Argentinos Juniors,DEL,22,3.058,3.104
Franco García,Newell's Old Boys,DEL,8,2.654,3.085
Matias Arias,Vélez Sarsfield,DEL,6,3.214,3.054
Valentino Simoni,Gimnasia y Esgrima Mendoza,DEL,17,2.932,3.04
Gonzalo Flores,Deportivo Riestra,DEL,5,3.107,3.036
Lautaro Mora,Huracán,DEL,10,3.173,3.034
Diego Churin,Sarmiento,DEL,20,3.248,3.019
Duván Vergara,Racing Club,DEL,20,2.899,3.011
David Romero,Tigre,DEL,12,2.759,2.998
Dilan Godoy,Vélez Sarsfield,DEL,19,2.899,2.995
Gonzalo Morales,Barracas Central,DEL,12,3.138,2.99
Luca Rafaelli,Instituto De Córdoba,DEL,9,2.952,2.974
Lisandro Piñero,Banfield,DEL,20,2.997,2.939
Santiago Rodríguez,Gimnasia y Esgrima Mendoza,DEL,14,2.985,2.92
Adolfo Gaich,Estudiantes de La Plata,DEL,15,3.055,2.914
Mauro Méndez,Tigre,DEL,5,2.715,2.88
Adrián Martínez,Racing Club,DEL,22,2.854,2.87
Maximiliano Salas,River Plate,DEL,14,3.06,2.866
Diego Diaz,Club Atlético Unión de Santa Fe,DEL,7,2.929,2.83
Leandro Díaz,Atlético Tucumán,DEL,20,2.918,2.818
Matías Tissera,Instituto De Córdoba,DEL,16,3.035,2.817
Jonathan Herrera,Deportivo Riestra,DEL,16,2.68,2.793
Gonzalo Zelarayán,Club Atlético Belgrano,DEL,3,2.604,2.756
Matías Fonseca,Instituto De Córdoba,DEL,17,2.702,2.721
Valentin Davila,CA Talleres,DEL,24,2.544,2.675
Braian Romero,Vélez Sarsfield,DEL,10,2.592,2.653
Nicolás Benegas,Deportivo Riestra,DEL,19,2.623,2.643
Franco Jara,Instituto De Córdoba,DEL,11,2.957,2.627
Gonzalo Gelini,Boca Juniors,DEL,5,2.659,2.602
Tomás Pérez,Racing Club,DEL,2,2.625,2.567
Fabricio Oviedo,Rosario Central,DEL,3,2.567,2.555
Misael Aguirre,Club Atlético Unión de Santa Fe,DEL,17,2.692,2.51
Augusto Lotti,Club Atlético Platense,DEL,9,2.38,2.477
Ezequiel Naya,Central Córdoba,DEL,18,2.427,2.445
Leandro Fernández,Argentinos Juniors,DEL,7,2.518,2.366
