--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
972,Santiago Toloza,ar ARG,MF,Defensa,23-322,2002,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,1961c843
973,Elías Torres,ar ARG,FW,Racing Club,25-172,2001,1.8,0,7,1,14.3,3.99,0.57,0.00,0.00,0,0,Matches,653a64e0
974,Franco Torres,ar ARG,MF,Gimnasia–LP,27-113,1999,7.9,3,18,7,38.9,2.27,0.88,0.17,0.43,0,0,Matches,811f1370
975,Marcelo Torres,ar ARG,FW,Gimnasia–LP,28-313,1997,14.5,7,26,14,53.8,1.79,0.96,0.27,0.50,2,3,Matches,287e50ae
976,Bruno Trey,ar ARG,MF,Talleres–C,20-239,2006,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,8dd6bb51
977,Nicolás Tripichio,ar ARG,MF,CA San Lorenzo,30-253,1996,23.3,0,23,5,21.7,0.99,0.21,0.00,0.00,0,0,Matches,4c3e3d0a
978,Manuel Tucker,ar ARG,FW,Platense,21-319,2004,0.7,0,1,1,100.0,1.48,1.48,0.00,0.00,0,0,Matches,f2b925ac
979,Ramiro Tulián,ar ARG,MF,Belgrano,18-239,2008,0.8,1,4,2,50.0,5.07,2.54,0.25,0.50,0,0,Matches,131aff3a
980,Ezequiel Unsain,ar ARG,GK,Talleres–C,31-190,1995,9.0,0,0,0,,0.00,0.00,,,0,0,Matches,036f15cf
981,Tomás Uribe,ar ARG,MF,Huracán,19-080,2007,1.0,0,2,0,0.0,1.94,0.00,0.00,,0,0,Matches,2c2b84b9
982,Diego Valdés,cl CHI,MF,Vélez Sarsfield,32-228,1994,9.6,3,22,7,31.8,2.29,0.73,0.14,0.43,0,0,Matches,e3cae82a
983,Facundo Valdéz,ar ARG,MF,Independiente,20-158,2006,2.0,0,2,0,0.0,1.02,0.00,0.00,,0,0,Matches,58d0c45b
984,Sebastián Valdez,ar ARG,DF,Independiente,30-313,1995,13.7,0,6,1,16.7,0.44,0.07,0.00,0.00,0,0,Matches,7e157454
985,Enner Valencia,ec ECU,FW,Boca Juniors,36-315,1989,2.3,1,8,3,37.5,3.51,1.32,0.13,0.33,0,0,Matches,fb485406
986,Matías Valenti,ar ARG,DF,Estudiantes–RC,24-012,2002,16.1,0,12,2,16.7,0.75,0.12,0.00,0.00,0,0,Matches,ff2e5807
