,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
898,Brían Sánchez,ar ARG,MF,Dep. Riestra,33-096,1993,7,6,417,4.6,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,f14e5e1f
899,Facundo Sánchez,ar ARG,MF,Lanús,21-039,2005,4,3,192,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,348ea312
900,Ulises Sánchez,ar ARG,MF,Gimnasia–M,28-081,1998,16,11,847,9.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f11ac2e0
901,Agustín Sández,py PAR,DFMF,Rosario Central,25-242,2001,19,17,1318,14.6,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches,8ccb067e
902,Facundo Sanguinetti,ar ARG,GK,Banfield,25-198,2001,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2047a087
903,Nicolás Sansotre,ar ARG,DF,Dep. Riestra,33-007,1993,22,22,1934,21.5,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,e7815a02
904,Thiago Santamaría,ar ARG,DF,Sarmiento–J,23-164,2003,16,13,1011,11.2,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,c57cc4aa
905,Gino Santilli,ar ARG,GK,Banfield,24-324,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b7824ba
906,Michael Santos,uy URU,FW,C. Córdoba–SdE,33-186,1993,19,17,1512,16.8,7,2,9,5,2,2,1,0,0.42,0.12,0.54,0.30,0.42,Matches,3cb6f224
907,Michael Santos,uy URU,FW,Vélez Sarsfield,33-186,1993,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3cb6f224
908,Jabes Saralegui,ar ARG,MF,Tigre,23-156,2003,17,15,1112,12.4,0,2,2,0,0,0,1,1,0.00,0.16,0.16,0.00,0.16,Matches,a694431e
909,Fabrizio Sartori,ar ARG,FWMF,Ind. Rivadavia,24-062,2002,22,20,1530,17.0,7,0,7,7,0,0,2,0,0.41,0.00,0.41,0.41,0.41,Matches,2755e745
910,Matías Satas,ar ARG,DF,Boca Juniors,18-199,2008,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,576d9f03
911,Rodrigo Sayavedra,ar ARG,DF,Dep. Riestra,31-056,1995,5,1,147,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bb2ffda5
912,Francisco Scarpeccio,ar ARG,FW,Newell's,20-236,2006,11,1,277,3.1,1,0,1,1,0,0,1,0,0.32,0.00,0.32,0.32,0.32,Matches,84828111
913,Nicolas Schelotto,ar ARG,MF,Gimnasia–LP,19-358,2006,20,19,1346,15.0,3,3,6,3,0,0,5,0,0.20,0.20,0.40,0.20,0.40,Matches,afa3a0a1
914,Augusto Schott,ar ARG,DF,Talleres–C,26-241,2000,24,23,2046,22.7,3,0,3,3,0,0,7,0,0.13,0.00,0.13,0.13,0.13,Matches,c52aaba0
915,Alexis Segovia,ar ARG,MF,Atlé Tucumán,22-092,2004,7,0,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a76f6e93
916,Santiago Segovia,ar ARG,MF,Rosario Central,19-173,2007,2,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40e48af1
917,Mateo Seoane,ar ARG,MF,Gimnasia–LP,22-218,2004,12,9,764,8.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,6741884a
918,Bruno Sepúlveda,ar ARG,FW,Banfield,33-363,1992,17,5,579,6.4,4,1,5,2,2,2,2,0,0.62,0.16,0.78,0.31,0.47,Matches,29ee723f
919,Bruno Sepúlveda,ar ARG,FW,Platense,33-363,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,29ee723f
920,Matías Sepúlveda,cl CHI,MF,Lanús,27-187,1999,21,9,884,9.8,0,2,2,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,Matches,b5206b67
921,Leonardo Sequeira,ar ARG,FWMF,Huracán,31-142,1995,10,0,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f775c775
922,Leonardo Sequeira,ar ARG,FWMF,C. Córdoba–SdE,31-142,1995,5,3,281,3.1,0,1,1,0,0,0,2,0,0.00,0.32,0.32,0.00,0.32,Matches,f775c775
923,Luis Sequeira,ar ARG,MF,Ind. Rivadavia,23-250,2003,7,0,175,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe8334f8
924,Tiago Serrago,ar ARG,MF,Tigre,22-222,2004,19,9,929,10.3,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,504cd579
925,Agustín Seyral,ar ARG,DF,Sarmiento–J,21-227,2005,11,8,720,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3d8a448f
926,Juan Sforza,ar ARG,MF,Talleres–C,24-213,2002,18,12,1193,13.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,ff112582
927,Leonardo Sigali,ar ARG,DF,Aldosivi,39-109,1987,3,3,225,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,aeb53bd6
928,Tomás Silva,ar ARG,DF,Platense,23-191,2003,21,21,1800,20.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,3f83ab59
929,Pedro Silva Torrejón,ar ARG,DF,Gimnasia–LP,29-233,1997,25,25,2155,23.9,0,3,3,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches,638b2975
930,Thiago Silvero,ar ARG,DF,Vélez Sarsfield,20-150,2006,13,11,1006,11.2,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches,f5ac3688
931,Valentino Simoni,ar ARG,FW,Gimnasia–M,22-138,2004,17,8,635,7.1,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,281c8dd7
932,Mauro Smarra Vargas,ar ARG,FW,Dep. Riestra,27-138,1999,5,3,268,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e87e9c52
933,Augusto Solari,ar ARG,MF,Unión,34-255,1992,8,1,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ca6106c
934,Santiago Solari,ar ARG,MF,Newell's,28-239,1998,2,2,156,1.7,0,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5099e15e
935,Santiago Solari,ar ARG,FWMF,Racing Club,28-239,1998,18,16,1286,14.3,2,4,6,2,0,0,3,0,0.14,0.28,0.42,0.14,0.42,Matches,5099e15e
936,Alan Soñora,us USA,MF,Newell's,28-043,1998,2,0,51,0.6,1,0,1,1,0,0,0,0,1.76,0.00,1.76,1.76,1.76,Matches,4b71bfe4
937,Alan Sosa,ar ARG,MFFW,Aldosivi,23-133,2003,16,10,967,10.7,1,1,2,1,0,0,2,1,0.09,0.09,0.19,0.09,0.19,Matches,18e371a1
938,Diego Sosa,ar ARG,MFDF,Instituto,29-049,1997,25,25,2179,24.2,1,3,4,1,0,0,3,0,0.04,0.12,0.17,0.04,0.17,Matches,f90d3b57
939,Gonzalo Sosa,ar ARG,FW,Racing Club,21-194,2005,3,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9c30bb7
940,José Sosa,ar ARG,MF,Estudiantes–LP,41-088,1985,11,6,408,4.5,0,1,1,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,1eecc0c6
941,Santiago Sosa,ar ARG,MFDF,Racing Club,27-135,1999,18,18,1592,17.7,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,f080dd22
942,Santiago Sosa,ar ARG,MF,Defensa,21-228,2005,24,24,2043,22.7,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,9857c88f
943,David Sotelo,ar ARG,MF,Newell's,23-047,2003,11,4,440,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb3b6565
944,Alexis Soto,ar ARG,DF,Rosario Central,32-330,1993,19,11,1115,12.4,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,c20a7043
945,Guillermo Soto,cl CHI,DF,Tigre,32-248,1994,6,4,388,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42cdf326
946,Martín Soto,ar ARG,DF,Huracán,18-288,2007,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a188db1f
947,Lucas Souto,ar ARG,DFMF,Defensa,27-339,1998,18,18,1498,16.6,1,0,1,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,ca39d38f
948,Adrián Sporle,ar ARG,DF,Belgrano,31-064,1995,21,16,1474,16.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f5122c46
949,Alexis Steimbach,ar ARG,DF,Gimnasia–LP,24-052,2002,22,19,1700,18.9,1,5,6,1,0,0,9,1,0.05,0.26,0.32,0.05,0.32,Matches,95f77284
950,Ángel Stringa,ar ARG,FW,Dep. Riestra,30-162,1996,2,0,37,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d446b144
951,Sheyko Studer,ar ARG,DF,Ind. Rivadavia,23-307,2002,18,18,1556,17.3,2,0,2,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,7d3feecd
952,Facundo Suárez,ar ARG,FW,Instituto,32-076,1994,6,0,111,1.2,1,0,1,1,0,0,1,0,0.81,0.00,0.81,0.81,0.81,Matches,c4232f83
953,Lucas Suárez,ar ARG,DF,Sarmiento–J,31-182,1995,19,16,1318,14.6,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,51bc9fe2
954,Ian Subiabre,ar ARG,MF,River Plate,19-257,2007,16,9,753,8.4,1,2,3,1,0,0,2,0,0.12,0.24,0.36,0.12,0.36,Matches,f9e8a841
955,Ian Subiabre,ar ARG,FW,Tigre,19-257,2007,5,0,97,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f9e8a841
956,Tomás Sultani,ar ARG,GK,Tigre,28-085,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3db19a37
957,Nicolás Sumavil,ar ARG,GK,Platense,26-299,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9bb92a85
958,Gastón Suso,ar ARG,DF,Atlé Tucumán,35-187,1991,16,16,1417,15.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9c1b0d34
959,Enzo Taborda,ar ARG,FW,Barracas Central,21-118,2005,9,1,219,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5eff45c2
960,Nicolás Talpone,ar ARG,MF,Estudiantes–RC,30-159,1996,21,12,1130,12.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c3970918
961,Iván Tapia,ar ARG,MF,Barracas Central,27-296,1998,25,25,1877,20.9,3,2,5,1,2,2,2,0,0.14,0.10,0.24,0.05,0.14,Matches,1e594292
962,Cristian Tarragona,ar ARG,FW,Unión,35-159,1991,24,24,2080,23.1,13,1,14,11,2,2,4,1,0.56,0.04,0.61,0.48,0.52,Matches,a5ac5b47
963,Diego Tarzia,ar ARG,MF,Independiente,23-142,2003,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,69b553f7
964,Alejandro Tello,ar ARG,MFFW,Racing Club,18-219,2008,5,5,324,3.6,0,1,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches,a6bf551f
965,Felipe Tempone,ar ARG,FW,Independiente,20-224,2006,7,2,225,2.5,0,1,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,Matches,5ceb9684
966,Renzo Tesuri,ar ARG,MF,Atlé Tucumán,30-100,1996,25,25,1926,21.4,2,1,3,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14,Matches,1bc771b3
967,Mauricio Tévez,ar ARG,FW,Estudiantes–RC,30-046,1996,2,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f13789e
968,Horacio Tijanovich,ar ARG,MFFW,C. Córdoba–SdE,30-199,1996,20,11,965,10.7,0,2,2,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,Matches,1607fa35
969,Matías Tissera,ar ARG,FW,Instituto,30-009,1996,15,9,760,8.4,2,0,2,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,a919be14
970,Fernando Tobio,ar ARG,DF,Barracas Central,36-332,1989,17,16,1381,15.3,2,0,2,2,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches,4958ceac
971,Gastón Togni,ar ARG,MF,Platense,28-360,1997,4,3,226,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba1f3f64
972,Santiago Toloza,ar ARG,MF,Defensa,23-322,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1961c843
973,Elías Torres,ar ARG,FW,Racing Club,25-172,2001,7,1,158,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,653a64e0
974,Franco Torres,ar ARG,MF,Gimnasia–LP,27-113,1999,22,5,714,7.9,3,0,3,3,0,0,4,0,0.38,0.00,0.38,0.38,0.38,Matches,811f1370
975,Marcelo Torres,ar ARG,FW,Gimnasia–LP,28-313,1997,19,17,1309,14.5,7,1,8,5,2,3,0,0,0.48,0.07,0.55,0.34,0.41,Matches,287e50ae
976,Bruno Trey,ar ARG,MF,Talleres–C,20-239,2006,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8dd6bb51
977,Nicolás Tripichio,ar ARG,MF,CA San Lorenzo,30-253,1996,24,24,2098,23.3,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,4c3e3d0a
978,Manuel Tucker,ar ARG,FW,Platense,21-319,2004,4,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f2b925ac
979,Ramiro Tulián,ar ARG,MF,Belgrano,18-239,2008,6,0,71,0.8,1,0,1,1,0,0,0,0,1.27,0.00,1.27,1.27,1.27,Matches,131aff3a
980,Ezequiel Unsain,ar ARG,GK,Talleres–C,31-190,1995,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,036f15cf
981,Tomás Uribe,ar ARG,MF,Huracán,19-080,2007,3,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2c2b84b9
982,Diego Valdés,cl CHI,MF,Vélez Sarsfield,32-228,1994,18,10,863,9.6,3,5,8,3,0,0,0,0,0.31,0.52,0.83,0.31,0.83,Matches,e3cae82a
983,Facundo Valdéz,ar ARG,MF,Independiente,20-158,2006,7,1,177,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,58d0c45b
984,Sebastián Valdez,ar ARG,DF,Independiente,30-313,1995,15,14,1235,13.7,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,7e157454
985,Enner Valencia,ec ECU,FW,Boca Juniors,36-315,1989,4,2,205,2.3,1,1,2,1,0,0,0,0,0.44,0.44,0.88,0.44,0.88,Matches,fb485406
986,Matías Valenti,ar ARG,DF,Estudiantes–RC,24-012,2002,18,17,1446,16.1,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,ff2e5807
987,Milton Valenzuela,ar ARG,DF,Independiente,28-033,1998,6,3,303,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,82318d24
988,Mateo Vales,ar ARG,DF,Aldosivi,19-253,2007,4,4,286,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0d598c77
989,Mauro Valiente,ar ARG,MFFW,Estudiantes–RC,26-232,2000,17,11,928,10.3,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,230d0975
990,Luciano Vallejo,ar ARG,DF,Atlé Tucumán,22-109,2004,15,13,1148,12.8,1,0,1,1,0,0,3,1,0.08,0.00,0.08,0.08,0.08,Matches,27653cda
991,Javier Vallejos,ar ARG,GK,C. Córdoba–SdE,23-255,2003,4,2,313,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8a28ed4b
992,Yoshan Valois,co COL,FW,Lanús,21-346,2004,17,7,700,7.8,4,1,5,4,0,0,0,0,0.51,0.13,0.64,0.51,0.64,Matches,f2c97754
993,Diego Valoyes,co COL,MF,Talleres–C,29-358,1996,9,3,296,3.3,0,1,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches,79e75919
994,Lucas Varaldo,ar ARG,FW,C. Córdoba–SdE,24-203,2002,14,5,420,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,48b7f4fc
995,Lautaro Vargas,ar ARG,DF,Unión,21-226,2005,20,20,1656,18.4,0,2,2,0,0,0,9,0,0.00,0.11,0.11,0.00,0.11,Matches,24e2e2a6
996,Matías Vargas,ar ARG,FWMF,Gimnasia–M,29-130,1997,4,0,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce82f116
997,Franco Vázquez,ar ARG,DF,Arg Juniors,21-256,2005,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d931fc4
998,Franco Vázquez,ar ARG,MF,Belgrano,37-205,1989,22,20,1654,18.4,2,1,3,2,0,0,5,1,0.11,0.05,0.16,0.11,0.16,Matches,467bae22
999,Ignacio Vázquez,ar ARG,DF,Platense,29-092,1997,18,18,1620,18.0,1,0,1,0,1,1,3,0,0.06,0.00,0.06,0.00,0.00,Matches,f228c287
1000,Kevin Vázquez,ar ARG,MF,Ind. Rivadavia,25-180,2001,7,3,273,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8af9e8d
1001,César Vega,ar ARG,MF,Atlé Tucumán,22-250,2004,13,11,975,10.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,c5304db4
1002,Alan Velasco,ar ARG,MFFW,Boca Juniors,24-050,2002,14,7,586,6.5,4,1,5,4,0,0,1,0,0.61,0.15,0.77,0.61,0.77,Matches,16349210
1003,Juan Velazquez,ar ARG,MF,Belgrano,21-300,2004,13,10,717,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,891b9bb8
1004,Alejo Véliz,ar ARG,FW,Rosario Central,22-361,2003,14,12,1008,11.2,4,0,4,4,0,1,0,0,0.36,0.00,0.36,0.36,0.36,Matches,3f7bafbe
1005,Fausto Vera,ar ARG,MF,River Plate,26-173,2000,19,17,1442,16.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,8b3b381b
1006,Federico Vera,ar ARG,DF,Huracán,28-175,1998,6,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dc93fa94
1007,Matías Vera,ar ARG,MF,C. Córdoba–SdE,30-324,1995,24,23,1989,22.1,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches,fe529f25
1008,Santino Vera,ar ARG,FW,Unión,20-157,2006,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,225e6527
1009,Duván Vergara,co COL,FWMF,Racing Club,30-006,1996,18,5,596,6.6,3,0,3,3,0,0,2,0,0.45,0.00,0.45,0.45,0.45,Matches,7faaf973
1010,Álex Verón,ar ARG,MF,Vélez Sarsfield,17-326,2008,12,3,358,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c013b830
1011,Elías Verón,ar ARG,DFMF,Rosario Central,19-192,2007,6,3,278,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9523ce55
1012,Gastón Verón,ar ARG,FW,Arg Juniors,25-145,2001,8,7,529,5.9,4,0,4,4,0,0,0,0,0.68,0.00,0.68,0.68,0.68,Matches,e5a62424
1013,Manuel Vicentini,ar ARG,GK,Belgrano,36-149,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a949c8a0
1014,Luciano Vietto,ar ARG,MFFW,CA San Lorenzo,32-284,1993,11,4,483,5.4,2,0,2,2,0,0,3,0,0.37,0.00,0.37,0.37,0.37,Matches,2513a588
1015,Alex Vigo,ar ARG,DF,Talleres–C,27-140,1999,9,4,374,4.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1d8d182c
1016,Alex Vigo,ar ARG,DF,Ind. Rivadavia,27-140,1999,5,2,283,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1d8d182c
1017,Maximiliano Villa,uy URU,DF,Atlé Tucumán,29-196,1997,16,15,1349,15.0,1,1,2,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,Matches,b42ba8cd
1018,Sebastián Villa,co COL,MFFW,Boca Juniors,30-119,1996,8,3,383,4.3,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,df454699
1019,Sebastián Villa,co COL,FWMF,Ind. Rivadavia,30-119,1996,13,11,1041,11.6,0,5,5,0,0,0,2,0,0.00,0.43,0.43,0.00,0.43,Matches,df454699
1020,Carlos Villalba,ar ARG,MF,Sarmiento–J,28-058,1998,11,8,527,5.9,1,0,1,1,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches,24a99c0e
1021,Iván Villalba,py PAR,DF,Ind. Rivadavia,31-239,1995,22,18,1654,18.4,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,3f66660b
1022,Juan Villalba,ar ARG,DF,Tigre,20-184,2006,8,6,557,6.2,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,ba8b91f4
1023,Alejandro Villareal,co COL,FWMF,Aldosivi,21-049,2005,9,3,239,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4e40d555
1024,Santiago Villarreal,ar ARG,MF,Gimnasia–LP,20-299,2005,2,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ada762eb
1025,Lautaro Villegas,ar ARG,MF,Banfield,22-259,2003,18,11,952,10.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f101aa59
1026,Matías Viña,uy URU,DFMF,River Plate,28-310,1997,8,5,402,4.5,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,08eb3b58
1027,Sergio Vittor,ar ARG,DF,Banfield,37-098,1989,13,13,1008,11.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7abfa435
1028,Emiliano Viveros,ar ARG,FWMF,Arg Juniors,23-350,2002,17,11,891,9.9,1,2,3,1,0,0,1,0,0.10,0.20,0.30,0.10,0.30,Matches,5b12c37d
1029,Andrés Vombergar,si SVN,FWMF,Aldosivi,31-299,1994,7,6,508,5.6,4,0,4,4,0,0,0,0,0.71,0.00,0.71,0.71,0.71,Matches,71910d3e
1030,Facundo Waller,uy URU,MF,Huracán,29-159,1997,20,16,1382,15.4,2,0,2,2,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matches,d3b58aaa
1031,Franco Watson,ar ARG,MFFW,Lanús,26-257,2000,17,10,741,8.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0d7ad669
1032,Nicólas Watson,ar ARG,MFDF,Dep. Riestra,28-116,1998,20,9,982,10.9,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,600cb6b1
1033,Marcelo Weigandt,ar ARG,DF,Boca Juniors,26-247,2000,10,7,730,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ac106741
1034,Axel Werner,ar ARG,GK,Rosario Central,30-199,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0b1a6da
1035,Axel Werner,ar ARG,GK,Aldosivi,30-199,1996,15,15,1350,15.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c0b1a6da
1036,Allan Wlk,py PAR,FW,Lanús,23-198,2003,9,6,492,5.5,3,0,3,3,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches,de9f8159
1037,Cristian Zabala,ar ARG,MF,Sarmiento–J,28-195,1998,24,23,2079,23.1,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,Matches,bb967f0b
1038,Facundo Zabala,ar ARG,DF,Independiente,27-256,1999,23,22,1943,21.6,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,2f2475da
1039,David Zalazar,ar ARG,MF,Banfield,24-129,2002,19,12,1067,11.9,1,3,4,1,0,0,4,0,0.08,0.25,0.34,0.08,0.34,Matches,4aeb00f4
1040,Maximiliano Zalazar,ar ARG,MF,Gimnasia–LP,25-191,2001,11,3,428,4.8,1,1,2,1,0,0,3,0,0.21,0.21,0.42,0.21,0.42,Matches,e374a7f5
1041,Nicolás Zalazar,ar ARG,DF,Aldosivi,29-229,1997,20,19,1709,19.0,0,1,1,0,0,0,2,1,0.00,0.05,0.05,0.00,0.05,Matches,e2c0f4bf
1042,Franco Zapiola,ar ARG,MF,Platense,25-208,2001,23,18,1496,16.6,2,2,4,2,0,0,3,0,0.12,0.12,0.24,0.12,0.24,Matches,7b0f7577
1043,Federico Zaracho,ar ARG,MF,Racing Club,28-189,1998,21,9,971,10.8,2,1,3,2,0,0,3,0,0.19,0.09,0.28,0.19,0.28,Matches,803d5265
1044,Sebastián Zaracho,py PAR,DF,Rosario Central,27-238,1999,2,1,91,1.0,0,1,1,0,0,0,1,0,0.00,0.99,0.99,0.00,0.99,Matches,a057d59b
1045,Exequiel Zeballos,ar ARG,FWMF,Boca Juniors,24-144,2002,7,5,457,5.1,1,3,4,1,0,0,0,0,0.20,0.59,0.79,0.20,0.79,Matches,02f9fb61
1046,Gonzalo Zelarayán,ar ARG,FW,Belgrano,22-140,2004,3,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e214af7f
1047,Lucas Zelarayán,am ARM,MFFW,Belgrano,34-087,1992,20,19,1648,18.3,4,2,6,4,0,0,2,0,0.22,0.11,0.33,0.22,0.33,Matches,3ce30893
1048,Felipe Zenobio,ar ARG,GK,Tigre,26-116,2000,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,21faad0e
